uid,Name,Level,Points,BestAnswersCount,QuestionsCount,AnswersCount
O3HSJ5K6TU52LBXAFTNGK5S7FI,Tim,2,526,38,9,15
5FC6V3A7SWVXMIT4TO4V2HHE4M,,0,0,0,0,0
B3ZECQCT5HOQD45ZAP2CUMHS7I,Ninja,6,12561,15,447,3589
7SYKA7RTNNG5TGYHYPNNN4EGGE,Syed,1,204,24,1,25
DY7VLSFUTBZQY4ST3PAXGSNQ5A,Loki,7,123692,70,1059,11176
KLZWTIVANKPABMNI3SAR7D6BZI,Vijay Venkatesh,2,395,5,36,140
E5DIUBWA7ITOE3H24B6DXVAQVM,Skipz?,2,372,7,443,636
7MAX2TI4SDOZKKORKJAR2RJ57I,Horsense,7,68939,15,368,18492
AZ7MS33CE53XB2X2RKIMRWQDA4,Soulo,7,122498,45,82,14237
RJZKK5J3MIBX253LJA6Q5W6P2E,Cream,1,5,4,244,539
HC5GWIUYNOLHH356VGDOLW2E4U,764 Gecko,6,17905,16,203,3288
AIX4W6YLHBT4WNICQKN3AXPMZ4,Mordecai,0,0,0,0,0
IXWRHFEKKOSKSJ7U52NLMPZSXY,Adrian,1,119,7,17,14
FDMZFM6YAGXDGUIPQ6TXFB7TNM,Dev,7,26649,0,50,10
YFYACFVX5EI7EYJCKOWK4SPF5I,,0,0,0,0,0
5A5KKEGZU4RSFRCH65JCIVM4VI,Surfer94303,3,1720,82,6,1
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,16
5FC6V3A7SWVXMIT4TO4V2HHE4M,,0,0,0,0,3
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
C3QQBTFDQEKNQR5LGGX65IQCFE,Dorelle,1,140,0,0,20
QD7G7ZCPJBWLSRWARAHOZLZAKA,Simon,0,0,0,0,0
UNUS4R4J7W7HIU5NNAPOEBCY4U,,0,0,0,0,0
GHLFVUOHF5JE4LH2VLMLV4M4TQ,Shaz,1,189,6,1,17
MYZY6OZSXLXDWHAGKYGDLXHODU,Wide Glide,7,71650,51,5,8065
3PPJGM27OJQBIXGEZBMXSW6TWU,Edward,2,319,18,1,44
5FC6V3A7SWVXMIT4TO4V2HHE4M,,0,0,0,0,3
5FC6V3A7SWVXMIT4TO4V2HHE4M,,0,0,0,0,0
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,5
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,16
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,4
BL5EFMU7UIY7QB2TUCUZB2NM3U,lior,2,464,57,7,7
G2V2SKCTIZFCPFFFXO42LRNG2A,,0,0,0,0,0
II7T5AL57IAFDTCE2OV4G4B7D4,Judith,0,0,0,0,0
3NET3A5WDF2OW4EGZCJQSOL3ZE,Bethany,3,1255,0,0,640
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,6
BL5EFMU7UIY7QB2TUCUZB2NM3U,lior,2,464,57,7,7
J5A7ZT562SAPTWENXRVWMVHN7U,Dan,1,107,0,0,1
QGRETTC5I7BX5E4PWBIDWCB7AE,,0,0,0,0,0
JFTI3GYB2XCWJSKHMCNBWA2RQ4,WOLF,1,150,5,0,18
5FC6V3A7SWVXMIT4TO4V2HHE4M,,0,0,0,0,0
263OEOACRR4CVEEDBONVL2MJO4,,0,0,0,0,0
BL5EFMU7UIY7QB2TUCUZB2NM3U,lior,2,464,57,7,2
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
4EUGWDAKOKFHUWJTVWKXL66TWU,Jere,3,1091,1,0,505
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,3
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
TFDKCJPP2H64QCDS5TZSSUI74Y,frandallfarmer,2,560,47,2,15
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,2
5FC6V3A7SWVXMIT4TO4V2HHE4M,,0,0,0,0,0
4STXHCLV6GPQUDJSDWEHQ7GGCA,,0,0,0,0,0
RJFYDPC4CUX7G2MVDN2KXCQNDU,Manish Baldua,1,206,0,1,2
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
BXBJM3Z52J3U33DUTKIT4H2C3Q,Latonna,2,608,0,0,252
BL5EFMU7UIY7QB2TUCUZB2NM3U,lior,2,464,57,7,1
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,1
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,16
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,1
TFDKCJPP2H64QCDS5TZSSUI74Y,frandallfarmer,2,560,47,2,15
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,1
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,2
7UTBOY7NINDLIAZEY5CTV6P5LI,dwesterhoff,2,434,112,0,8
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,1
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,1
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,1
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,2
7UTBOY7NINDLIAZEY5CTV6P5LI,dwesterhoff,2,434,112,0,8
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,3
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,2
ZRM5NYDFRY2BMZTPQ72P4BJEA4,questioner,1,178,50,1,2
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
I7LXLWUTUCSDNM3YR6JD4VGTLQ,,0,0,0,0,4
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
B6S6OXH6ABJO2ZNAP2JK7LE4UA,Tedra,0,0,0,0,0
KL64UYV666IQQDV5PUKAAO4TFU,Leeann,1,140,0,0,20
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,3
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
WE73PGH24B7CYQ57OEYXYZQ3ZE,xbalanque,2,727,30,12,33
WE73PGH24B7CYQ57OEYXYZQ3ZE,xbalanque,2,727,30,12,3
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
ZRM5NYDFRY2BMZTPQ72P4BJEA4,questioner,1,178,50,1,2
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,2
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,0
EVATUQO63L5JUROM6IRIVOFMTA,phil.,4,4616,60,39,281
XKATXYONJNRGQWTZVIXBRBTEWI,Jannel,1,140,0,0,20
77E3XEFGTQOHKR6CD6GRHWSGGQ,Betti,0,0,0,0,0
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,3
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,2
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,101
QXB5SUQHFUKPAWTRFCJCXAMXCA,?,1,140,0,0,20
HHD2A3P67FW5PIOCCDD4XMBTYQ,?,1,136,0,0,18
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,2
5A5KKEGZU4RSFRCH65JCIVM4VI,Surfer94303,3,1720,82,6,68
C3TXUACZRQQS3O6YIOIBDZBKOU,Paul,6,12417,9,3,3977
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,1
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,101
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,2
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,2
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,158
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
SIYORPDQCGGFS77S46WYK5L47M,Michael O,2,488,50,17,0
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
75E5PDQIIIPIPG55WSPV3YLNO4,Herold,0,0,0,0,0
UUZDK7R3ZG36L5ASNAXI2EPM6U,,0,0,0,0,0
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,1
G7LO5PNBLFFY4DBHK36FL3DVRQ,anata,2,250,44,4,9
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
7UTBOY7NINDLIAZEY5CTV6P5LI,dwesterhoff,2,434,112,0,8
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,1
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
TFDKCJPP2H64QCDS5TZSSUI74Y,frandallfarmer,2,560,47,2,1
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
OEM2STIGMAJGJWMAHMSV3LW24U,Michael A,3,1264,62,10,1
7UTBOY7NINDLIAZEY5CTV6P5LI,dwesterhoff,2,434,112,0,8
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,2
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
X5I3ZOL7OBIRCHNLDLR3J23TVQ,cookie,3,1449,56,24,25
VEZ2W4FLOYBEHZJTLNB3KNASME,lesley,3,1488,61,31,2
NHW5JOY6ZK2NAXDGFXY7B5JHYY,Djibouti,4,2927,39,32,233
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
WE73PGH24B7CYQ57OEYXYZQ3ZE,xbalanque,2,727,30,12,1
WE73PGH24B7CYQ57OEYXYZQ3ZE,xbalanque,2,727,30,12,33
SIYORPDQCGGFS77S46WYK5L47M,Michael O,2,488,50,17,2
ZFUUX3TLTUWBS7XCNZGQUZHIZQ,rufus,2,527,55,8,18
D6MXSYE44I3EMS5A7XQERO4BRI,Jarek,1,153,20,1,5
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,1
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
OEM2STIGMAJGJWMAHMSV3LW24U,Michael A,3,1264,62,10,2
OEM2STIGMAJGJWMAHMSV3LW24U,Michael A,3,1264,62,10,74
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,1
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
ZFUUX3TLTUWBS7XCNZGQUZHIZQ,rufus,2,527,55,8,1
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,2
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,2
7UTBOY7NINDLIAZEY5CTV6P5LI,dwesterhoff,2,434,112,0,8
3NPZTTASQTUBCGEIXKGM7BRSNQ,?,1,140,0,0,20
23PZJSNQHG6JFRGTD2ASQOATXQ,Istvan,0,0,0,0,0
D7OA22Y4KJRCDFWH2AFVVKORA4,akira,3,1419,77,4,70
X5I3ZOL7OBIRCHNLDLR3J23TVQ,cookie,3,1449,56,24,2
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,41
X5I3ZOL7OBIRCHNLDLR3J23TVQ,cookie,3,1449,56,24,1
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
EVATUQO63L5JUROM6IRIVOFMTA,phil.,4,4616,60,39,2
EVATUQO63L5JUROM6IRIVOFMTA,phil.,4,4616,60,39,281
N3DFXC6MCRHEPNI4ZNYICBOPOI,Jeremy Zawodny,2,324,25,6,1
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,3
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
XWMD4VME7NNR2F4Q5E7ACI2CAE,Ling,2,299,20,3,2
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,13
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,1
ZFUUX3TLTUWBS7XCNZGQUZHIZQ,rufus,2,527,55,8,18
VNRYAJIAJNZYYOEDBFFYG6J53E,tomchi,3,2463,51,7,2
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,3
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,16
BEJ5Y4WTUSOZM4M74Z26XVZUSE,?!,2,402,47,2,17
WC35RWDICYQOYAH4TX73C2BXTQ,,0,0,0,0,0
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,3
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
EVATUQO63L5JUROM6IRIVOFMTA,phil.,4,4616,60,39,281
NHW5JOY6ZK2NAXDGFXY7B5JHYY,Djibouti,4,2927,39,32,233
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,1
EVATUQO63L5JUROM6IRIVOFMTA,phil.,4,4616,60,39,281
O3HSJ5K6TU52LBXAFTNGK5S7FI,Tim,2,526,38,9,2
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,1
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,4
TMQULWCGXME6OFELNZI3327RWI,Tom,2,348,26,4,34
YXDDBU24DGYN262HNRX7L265CU,,0,0,0,0,0
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
43WDRZLVWMASLI7CJN2AJVOA5M,,0,0,0,0,0
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,3
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,126
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
VEZ2W4FLOYBEHZJTLNB3KNASME,lesley,3,1488,61,31,64
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,4
X5I3ZOL7OBIRCHNLDLR3J23TVQ,cookie,3,1449,56,24,25
DI2LHX5HSNWWMQ4XVVGYAIHNFI,,0,0,0,0,0
V72AQ4B5L7TKQN7APTBEMH3L54,Kitty 2,7,135171,11,1212,39421
QIF5JBBEXPMZYQQMHIAOQAICRQ,Cassie,1,193,10,16,40
JTMEV3JI25O43LQEUVWP32OYCQ,Yumes,3,2298,42,56,1
VEZ2W4FLOYBEHZJTLNB3KNASME,lesley,3,1488,61,31,64
F5GMNS5EK7VBIEXZ3VVJNMGCBQ,Clementina,1,140,0,0,20
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,1
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,2
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
COSMFF2L6XAJCMYXQ65C4CXVRE,,0,0,0,0,2
JF2URSIC6V7FP3WIEZW3G6FOAI,Ash Patel,2,891,64,1,31
D73NBTHOSWE4I5FREMY63B6LNA,Jocelyn,1,140,0,0,20
WBSHC4GMJW2OOD4FC7JCJMN344,Linda,0,0,0,0,0
IV2R5UFFIVGF5YIPLJ7NYSU3NY,?,2,268,0,0,7
,randomtruth,2,884,43,0,1
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
64EAXSTOQWSZKAZUECOKBTVOAA,Nick N,5,8313,51,73,787
VEZ2W4FLOYBEHZJTLNB3KNASME,lesley,3,1488,61,31,2
D7OA22Y4KJRCDFWH2AFVVKORA4,akira,3,1419,77,4,70
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
NHW5JOY6ZK2NAXDGFXY7B5JHYY,Djibouti,4,2927,39,32,2
X5I3ZOL7OBIRCHNLDLR3J23TVQ,cookie,3,1449,56,24,25
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,1
YGLTZCDUQHFJZFADKHACL4F3NU,Tata927,3,2285,25,20,16
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,2
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,2
EVATUQO63L5JUROM6IRIVOFMTA,phil.,4,4616,60,39,281
D7OA22Y4KJRCDFWH2AFVVKORA4,akira,3,1419,77,4,70
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
D7OA22Y4KJRCDFWH2AFVVKORA4,akira,3,1419,77,4,70
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,1
375C4Q6BVNSZFK4AQ3M2RXOZ6E,coco,2,649,41,16,46
ZGKWSGDNVEEHKZ3V5346EEDGOA,Ben C,2,262,100,3,2
ZGKWSGDNVEEHKZ3V5346EEDGOA,Ben C,2,262,100,3,4
ZGKWSGDNVEEHKZ3V5346EEDGOA,Ben C,2,262,100,3,1
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
ZGKWSGDNVEEHKZ3V5346EEDGOA,Ben C,2,262,100,3,3
ZGKWSGDNVEEHKZ3V5346EEDGOA,Ben C,2,262,100,3,4
YBAUVHU2AB2W2HZ54VQEOX5OLA,tomi,1,113,0,1,2
PAXAKCDUOVCZON4VFHZZBUB3UE,tsc_qanda,2,825,52,29,61
353IZ4QYJLMCQ6G225CESS5PRI,,0,0,0,0,0
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,2
C73NFK4NWZW7BII2747T36WIEE,D Chai,2,692,25,1,75
4WR4OIBCTQI23HZOVJJPDQO65I,Mike,5,6483,32,26,765
TYZJ2YSAXVAHZAM7IOJMBSDLBU,Viswamitra T,2,658,46,10,1
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
353IZ4QYJLMCQ6G225CESS5PRI,,0,0,0,0,2
GRNFCAZ2V4CGYTEBFWJLYBTALM,,0,0,0,0,0
CK7LOPBQMXSETLY35ETM5HIMXE,,0,0,0,0,0
FCAQYCZNO4PF6RQBABWNGPGSEE,,0,0,0,0,4
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
4QOYFK4A7CXO6A2LZ2GDU3UEGA,,0,0,0,0,0
KMZAY7GPNRY4MJKCRIBTGSDX3A,yahooza,4,3697,22,50,54
GRNFCAZ2V4CGYTEBFWJLYBTALM,,0,0,0,0,0
VNMHRIO7W2IKKVCTTH4W7RA6OU,Ofer,3,1173,46,65,1
TFKJJRC5XD32LGV5GC6VFESIYY,,0,0,0,0,0
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,6
EJT4KTBTY4Z6OHPXAZSSCNTWSU,tallthinthng,2,392,60,1,10
XVM4SEPECPWO7IWUO6KILWUXZM,randomtruth,2,884,43,0,51
TEUXRAYTMZO2VTBERUR2FYSP6E,davidfricks,1,101,0,0,4
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
A5BYLUI6KD7OHA43CF7LIWC2DA,Q'Aminator,4,4273,33,193,230
R3KRODO6SK2WL4WZAA63TY2ACQ,,0,0,0,0,0
COSMFF2L6XAJCMYXQ65C4CXVRE,,0,0,0,0,2
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,101
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
COSMFF2L6XAJCMYXQ65C4CXVRE,,0,0,0,0,1
COSMFF2L6XAJCMYXQ65C4CXVRE,,0,0,0,0,0
COSMFF2L6XAJCMYXQ65C4CXVRE,,0,0,0,0,2
VMEAKPMWLZAJKROTFF27O6U4RE,greenido,3,1390,42,13,140
FTFRNRYB45OYIEXXRLQ6PBIIYY,Dan,4,4686,60,3,363
PAXAKCDUOVCZON4VFHZZBUB3UE,tsc_qanda,2,825,52,29,1
FBA6DBD3PGOTYPJIDZVJIUGYTA,frank_filippini,1,217,100,0,2
PAXAKCDUOVCZON4VFHZZBUB3UE,tsc_qanda,2,825,52,29,1
FBA6DBD3PGOTYPJIDZVJIUGYTA,frank_filippini,1,217,100,0,2
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,1
FTFRNRYB45OYIEXXRLQ6PBIIYY,Dan,4,4686,60,3,363
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,2
ELCMMGRKHU22DCLFIABA47ACV4,Anne,3,1120,46,20,101
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,1
JLW4OITTWQOGOPFTYPHMTNDLBY,CM,2,313,37,7,8
FTFRNRYB45OYIEXXRLQ6PBIIYY,Dan,4,4686,60,3,3
QUDQVWWQUIAT2CDYPXVYGUXTMA,vhines200,4,3914,20,32,385
C3TXUACZRQQS3O6YIOIBDZBKOU,Paul,6,12417,9,3,3977
COSMFF2L6XAJCMYXQ65C4CXVRE,,0,0,0,0,0
